Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;CS/Min;Kills;Deaths;Assists;KP%;WardPlaced;WardKilled;Damage/Min;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;JungleProximity;topLanePresence;midLanePresence;botLanePresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239845|game3;2616386;14.1.553.2414;3;DRX SeTab;-355;-1173;8.720224214265405;1;2;1;0.3333333333333333;3;7;441.5243248961746;0;0;0.42289156626506025;0.0;0.7156626506024096;0.08072289156626505;0.004819277108433735;0.016867469879518072;0.00963855421686747;0.0;0.01927710843373494;0.02530120481927711
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239845|game3;2616386;14.1.553.2414;3;FOX Clozer;355;1173;9.857644763952198;3;1;1;0.8;8;2;441.8597133883376;1317.250244140625;1317.250244140625;0.5084337349397591;0.0;0.6385542168674698;0.13373493975903614;0.0;0.01927710843373494;0.0;0.02891566265060241;0.06506024096385542;0.0
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239861|game1;2616387;14.1.553.2414;1;GEN Chovy;-565;-517;10.179126812729317;2;1;0;0.6666666666666666;5;6;310.9793813044599;707.0671997070312;1404.0057373046875;0.30120481927710846;0.0;0.5024096385542168;0.23012048192771084;0.0;0.024096385542168676;0.0;0.021686746987951807;0.08795180722891566;0.0
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239861|game1;2616387;14.1.553.2414;1;DK ShowMaker;565;517;9.67333169159991;3;0;1;0.6666666666666666;9;5;263.99081697531875;0;0;0.39518072289156625;0.09759036144578313;0.6325301204819277;0.004819277108433735;0.0024096385542168677;0.02530120481927711;0.0;0.01927710843373494;0.03614457831325301;0.05542168674698795
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239861|game2;2616387;14.1.553.2414;2;GEN Chovy;-85;-526;10.235044943624168;0;0;0;0;7;4;125.65871775526578;0;5819.98046875;0.5180722891566265;0.0;0.5879518072289157;0.0;0.016867469879518072;0.06385542168674699;0.014457831325301205;0.0;0.0855421686746988;0.02289156626506024
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239861|game2;2616387;14.1.553.2414;2;DK ShowMaker;85;526;10.361403523175083;1;0;0;0.5;7;3;314.2060635339072;512.0200805664062;512.0200805664062;0.5433734939759036;0.0;0.7891566265060241;0.020481927710843374;0.0;0.012048192771084338;0.0;0.03132530120481928;0.024096385542168676;0.0012048192771084338
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239861|game3;2616387;14.1.553.2414;3;DK ShowMaker;-811;-1116;9.410713895631297;0;1;1;0.5;6;3;332.5622414891672;1117.9462890625;1117.9462890625;0.4657039711191336;0.049338146811071;0.7821901323706378;0.0;0.0036101083032490976;0.0;0.0012033694344163659;0.0;0.0024067388688327317;0.009626955475330927
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239861|game3;2616387;14.1.553.2414;3;GEN Chovy;811;1116;10.484419507884532;1;0;0;0.25;8;5;384.2332755382172;2057.297119140625;2851.83642578125;0.3309265944645006;0.019253910950661854;0.6594464500601684;0.05535499398315283;0.03489771359807461;0.015643802647412757;0.0;0.0;0.031287605294825514;0.0012033694344163659
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305517|game1;2616388;14.1.553.2414;1;KDF BuLLDoG;-338;-556;9.476164543395157;0;1;1;1.0;9;0;284.44827058329116;1175.0316162109375;1175.0316162109375;0.39759036144578314;0.14578313253012049;0.6277108433734939;0.0;0.006024096385542169;0.006024096385542169;0.0;0.0;0.007228915662650603;0.060240963855421686
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305517|game1;2616388;14.1.553.2414;1;NS Callme;338;556;9.412990113105856;0;0;1;1.0;8;3;356.1905787461297;2169.40869140625;3656.443603515625;0.3891566265060241;0.0;0.5240963855421686;0.26144578313253014;0.007228915662650603;0.0024096385542168677;0.0;0.0012048192771084338;0.05542168674698795;0.0012048192771084338
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305517|game2;2616388;14.1.553.2414;2;NS Callme;611;823;9.475461655194957;2;1;3;0.8333333333333334;8;2;482.14689861911944;27.47209930419922;5368.3701171875;0.5042117930204573;0.10709987966305656;0.628158844765343;0.009626955475330927;0.01684717208182912;0.015643802647412757;0.0036101083032490976;0.0;0.06377858002406739;0.05415162454873646
2024-01-27;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305517|game2;2616388;14.1.553.2414;2;KDF BuLLDoG;-611;-823;8.527915489675461;0;1;1;0.3333333333333333;6;0;371.7916377088111;0;0;0.4187725631768953;0.10348977135980746;0.6077015643802648;0.0;0.05054151624548736;0.0036101083032490976;0.0;0.0;0.015643802647412757;0.01684717208182912
2024-01-28;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239825|game1;2616389;14.1.553.2414;1;DRX SeTab;-446;349;10.045753926178415;0;0;0;0;5;1;347.77481255414466;1257.4715576171875;1257.4715576171875;0.44096385542168676;0.0;0.7337349397590361;0.09518072289156626;0.006024096385542169;0.00963855421686747;0.0;0.0;0.04216867469879518;0.016867469879518072
2024-01-28;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239825|game1;2616389;14.1.553.2414;1;BRO Karis;446;-349;9.982573083875407;0;0;0;0.0;6;3;87.62211823027195;1449.17822265625;1638.837646484375;0.3759036144578313;0.0;0.6265060240963856;0.163855421686747;0.01566265060240964;0.027710843373493974;0.0;0.02289156626506024;0.030120481927710843;0.0
2024-01-28;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239825|game2;2616389;14.1.553.2414;2;BRO Karis;5;369;10.106834666146227;1;0;0;0.5;3;5;381.85122218843435;0;0;0.43012048192771085;0.0036144578313253013;0.6409638554216868;0.0855421686746988;0.01566265060240964;0.027710843373493974;0.004819277108433735;0.012048192771084338;0.02650602409638554;0.02891566265060241
2024-01-28;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239825|game2;2616389;14.1.553.2414;2;DRX SeTab;-5;-369;9.790996082829157;0;1;1;1.0;7;4;269.46268402204555;0;0;0.45180722891566266;0.0;0.7168674698795181;0.05783132530120482;0.0;0.018072289156626505;0.0;0.007228915662650603;0.05542168674698795;0.01325301204819277
