Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;CS/Min;Kills;Deaths;Assists;KP%;WardPlaced;Damage/Min;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;JungleProximity;topLanePresence;jungleAllyTopPresence;jungleEnemyTopPresence;riverTopPresence
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503303|game1;2624066;14.1.553.2414;1;GW Pride;123;-457;9.28491582108388;1;0;0;1.0;6;510.24084534482733;0;2571.77734375;0.16987951807228915;0.708433734939759;0.0;0.020481927710843374;0.03855421686746988
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503303|game1;2624066;14.1.553.2414;1;BDSA JNX;-123;457;10.295518903650834;0;1;0;0.0;6;435.39132743733495;2391.8955078125;3727.541259765625;0.09397590361445783;0.7433734939759036;0.01927710843373494;0.008433734939759036;0.03975903614457831
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503311|game1;2624067;14.1.553.2414;1;M8 Ragner;-364;237;8.844629168308174;0;0;0;0.0;6;323.31876312934764;1145.9652099609375;1145.9652099609375;0.046987951807228916;0.7734939759036145;0.02650602409638554;0.020481927710843374;0.04457831325301205
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503311|game1;2624067;14.1.553.2414;1;BKR Howling;364;-237;9.034156936200493;0;0;0;0.0;4;259.387690798379;0;0;0.06626506024096386;0.8650602409638555;0.006024096385542169;0.0;0.01927710843373494
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568915|game1;2624069;14.1.553.2414;1;TDS SLT;-1709;-2227;7.642897134849018;0;2;1;0.16666666666666666;2;550.3115401655324;0;491.0650329589844;0.1444043321299639;0.7135980746089049;0.0;0.0;0.039711191335740074
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568915|game1;2624069;14.1.553.2414;1;GO Lot;1709;2227;9.790488065302462;2;0;0;0.2222222222222222;4;535.0636198857038;3352.187744140625;3352.187744140625;0.17328519855595667;0.7713598074608905;0.006016847172081829;0.007220216606498195;0.018050541516245487
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568889|game1;2624070;14.1.553.2414;1;AEG Agresivoo;-1295;-1577;6.949208964318761;0;1;0;0.0;7;409.0505888909364;0;0;0.14578313253012049;0.7108433734939759;0.010843373493975903;0.0;0.00963855421686747
2024-01-25;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568889|game1;2624070;14.1.553.2414;1;VITB Naak Nako;1295;1577;9.03397165361439;1;0;1;0.4;5;499.46122264746816;1584.8043212890625;5739.16943359375;0.2433734939759036;0.8204819277108434;0.008433734939759036;0.0036144578313253013;0.03132530120481928
2024-01-19;League of Legends Scrims;scrim| aeg game 4;2624075;14.1.553.2414;1;BJK Hoon;271;156;8.909183286579685;0;1;0;0.0;6;341.36393705823065;3005.528564453125;3005.528564453125;0.14578313253012049;0.8216867469879519;0.0;0.01927710843373494;0.01325301204819277
2024-01-19;League of Legends Scrims;scrim| aeg game 4;2624075;14.1.553.2414;1;AEG Agresivoo;-271;-156;8.719626195375863;1;0;0;0.14285714285714285;6;328.49417061539816;0;0;0.1650602409638554;0.6626506024096386;0.0;0.0;0.008433734939759036
2024-01-21;League of Legends Scrims;scrim| rbls game 1;2624664;14.1.553.2414;1;RBLS R4VEN;176;-22;9.28569715098445;1;1;0;0.14285714285714285;7;427.07353412428967;507.63720703125;1854.80712890625;0.21686746987951808;0.8397590361445784;0.010843373493975903;0.0036144578313253013;0.02891566265060241
2024-01-21;League of Legends Scrims;scrim| rbls game 1;2624664;14.1.553.2414;1;AEG Agresivoo;-176;22;9.727873205793234;1;2;0;0.1;4;358.52637562770485;1151.935546875;5996.064453125;0.15060240963855423;0.7156626506024096;0.02650602409638554;0.03855421686746988;0.024096385542168676
2024-01-21;League of Legends Scrims;scrim| rbls game 2;2624714;14.1.553.2414;1;AEG Agresivoo;1027;272;8.400080645919525;1;1;1;0.18181818181818182;5;466.0691538256751;601.2122192382812;1421.6162109375;0.12755716004813478;0.6847172081829122;0.0012033694344163659;0.0012033694344163659;0.01444043321299639
2024-01-21;League of Legends Scrims;scrim| rbls game 2;2624714;14.1.553.2414;1;RBLS R4VEN;-1027;-272;8.65271465030808;1;2;0;0.2;6;405.46857202296997;269.86090087890625;1315.4398193359375;0.16004813477737664;0.7906137184115524;0.00842358604091456;0.0012033694344163659;0.032490974729241874
2024-01-21;League of Legends Scrims;scrim| aeg game 3;2624754;14.1.553.2414;1;RBLS R4VEN;-1244;-2262;6.948658169772732;1;2;2;0.75;7;468.1671396591548;852.6096801757812;2097.735107421875;0.20722891566265061;0.5807228915662651;0.03975903614457831;0.004819277108433735;0.0891566265060241
2024-01-21;League of Legends Scrims;scrim| aeg game 3;2624754;14.1.553.2414;1;AEG Agresivoo;1244;2262;8.464729043177693;3;1;2;0.8333333333333334;7;404.93024799028575;4647.43896484375;5428.509765625;0.2216867469879518;0.6385542168674698;0.012048192771084338;0.06265060240963856;0.046987951807228916
